size,num_locks,threads,bench,throughput
2048,2000,16,rcopt_batch_32,5.213008
2048,2000,1,farm_fixed_nomemcpy_batch_1,0.1841115
2048,2000,2,farm_fixed_nomemcpy_batch_1,0.36644720000000003
2048,2000,4,farm_fixed_nomemcpy_batch_1,0.7320146999999999
2048,2000,8,farm_fixed_nomemcpy_batch_1,1.4602097
2048,2000,16,farm_fixed_nomemcpy_batch_1,2.7756838
2048,2000,1,farm_fixed_nomemcpy_batch_32,1.7946976000000001
2048,2000,2,farm_fixed_nomemcpy_batch_32,3.3949344
2048,2000,4,farm_fixed_nomemcpy_batch_32,5.8351488
2048,2000,8,farm_fixed_nomemcpy_batch_32,5.8391104
2048,2000,16,farm_fixed_nomemcpy_batch_32,5.839184
2048,2000,1,farm_fixed_memcpy_batch_1,0.1806524
2048,2000,2,farm_fixed_memcpy_batch_1,0.3404534
2048,2000,4,farm_fixed_memcpy_batch_1,0.6312255
2048,2000,8,farm_fixed_memcpy_batch_1,1.1915948
2048,2000,16,farm_fixed_memcpy_batch_1,2.1978529
2048,2000,1,farm_fixed_memcpy_batch_32,1.5510336
2048,2000,2,farm_fixed_memcpy_batch_32,1.7064704
2048,2000,4,farm_fixed_memcpy_batch_32,2.5780448
2048,2000,8,farm_fixed_memcpy_batch_32,3.7883424
2048,2000,16,farm_fixed_memcpy_batch_32,3.9554367999999998
4096,2000,1,pessimistic_batch_1,0.1587283
4096,2000,2,pessimistic_batch_1,0.317206
4096,2000,4,pessimistic_batch_1,0.6309244
4096,2000,8,pessimistic_batch_1,1.2332249
4096,2000,16,pessimistic_batch_1,2.2535806000000003
4096,2000,1,pessimistic_batch_32,0.17237760000000002
4096,2000,2,pessimistic_batch_32,0.34367359999999997
4096,2000,4,pessimistic_batch_32,0.6776448
4096,2000,8,pessimistic_batch_32,1.3096416000000002
4096,2000,16,pessimistic_batch_32,2.361296
4096,2000,1,broken_batch_1,0.1000525
4096,2000,2,broken_batch_1,0.1994569
4096,2000,4,broken_batch_1,0.39750959999999996
